date,title,topics,slides,slides_pdf,reading,video,lab_video,reading,data,instructor,homework,hw_solution,hw_topics,homework_date
20.09.23,Introduction ,Overview;Organisation;Software to be used,session_1_introduction,session_1_introduction,,,,,,,,,,
27.09.23,Your Computer as research tool,Basic Scientific Software;Online Ressources;Digital Data;Spreadsheets and Databases;Reference management tools (Zotero),session_2_computer_as_research_tool,session_2_computer_as_research_tool,,https://tube.switch.ch/videos/XCQQPvejY9,,,,,Create a literature collection in Zotero with 5 entries and a word processing document in which these 5 literature references are cited.,,,03.10.23
04.10.23,Data Bases I,What is a Database;ER-Model;Normalisation,session_03_database_1,session_03_database_1,,https://tube.switch.ch/videos/kk3xXWDY21,,,,,Create a basic schema of a database for your project,,,10.10.23
11.10.23,Data Bases II,Example Archaeological Database;Tables;Relationships;Forms;Data Entry;Queries,session_04_database_2,session_04_database_2,,https://tube.switch.ch/videos/EiWzbNB2I4,https://tube.switch.ch/videos/DavvNg0Cv6; https://tube.switch.ch/videos/agEi4d0Bxs; https://tube.switch.ch/videos/HbbeVoUhtR; https://tube.switch.ch/videos/MIPitqZbRD; https://tube.switch.ch/videos/B3Koh87G9r; https://tube.switch.ch/videos/Yk7tEPPGPu; https://tube.switch.ch/videos/acFI83aLWY,,,,Implement your database,,,17.10.23
18.10.23,Visualisation I,General Charts;Pie Charts;Bar Charts;Scatterplots;Box Plots;Histogram;Kernel Plots,session_05_visualisation_1,session_05_visualisation_1,,https://tube.switch.ch/videos/YZQ27DCYBb,https://tube.switch.ch/videos/TSASXHaPyW; https://tube.switch.ch/videos/y5KRle7LIc,,,,Q&A,,,
25.10.23,Visualisation II,Seriation;Correspondence Analysis,session_06_visualisation_2,session_06_visualisation_2,,https://tube.switch.ch/videos/YRBoiWggSS,https://tube.switch.ch/videos/dGdzXKWI1D; https://tube.switch.ch/videos/b732O6b12J,,,,Create 1. two diagrams and 2. a seriation / correspondence analysis of your data.,,,31.10.23
01.11.23,Basic Statistics,Overview;Sample & Population;Scales of Measurement;Hypothesis testing;χ2-test,session_07_basic_statistics,session_07_basic_statistics,,https://tube.switch.ch/videos/KqRCy5pTbJ,https://tube.switch.ch/videos/FydH9XiUaM; https://tube.switch.ch/videos/Dfcpcql9pu,,,,Perform a χ2-test with your data,,,07.11.23
08.11.23,GIS I,Overview;Coordinate Systems and Projection;Georeferencing;Digitising,session_08_gis_1,session_08_gis_1,,https://tube.switch.ch/videos/CVUT3OIjZX,https://tube.switch.ch/videos/sxDB64MJna; https://tube.switch.ch/videos/rlj5uwyXmN,,,,Digitise the map of your site,,,14.11.23
15.11.23,GIS II,Simple Mapping;Heatmap;Thematic map;Exporting maps,session_09_gis_2,session_09_gis_2,,https://tube.switch.ch/videos/QOUa5yRhPJ,https://tube.switch.ch/videos/HGB2dAmlDd; https://tube.switch.ch/videos/U3nUbgVfcI; https://tube.switch.ch/videos/fqpKcXC4Tj; https://tube.switch.ch/videos/aDXcQ3sVQm; https://tube.switch.ch/videos/AB1RUwtrUK; https://tube.switch.ch/videos/HHim3kzNAh; https://tube.switch.ch/videos/J8H9KKhQpQ,,,,Create an appropriate thematic map for your project,,,21.11.23
22.11.23,14C Calibration I,14C Basics;Calibration Background;OxCal;Simple Calibration,session_10_14C_calibration_1,session_10_14C_calibration_1,,https://tube.switch.ch/videos/AEMXrajiyK,https://tube.switch.ch/videos/ljaF8kjHJf; https://tube.switch.ch/videos/R6eej4v3vG,,,,Calibrate the 14C data for your project in a meaningful way.,,,28.11.23
29.11.23,14C Calibration II,OxCal Combine;Sequential Calibration,session_11_14C_calibration_2,session_11_14C_calibration_2,,https://tube.switch.ch/videos/1zvO8TuAJ1,https://tube.switch.ch/videos/1zvO8TuAJ1; https://tube.switch.ch/videos/XgGrQ9u82n; https://tube.switch.ch/videos/2lebbxmk85; https://tube.switch.ch/videos/h0K1c8aa9L; https://tube.switch.ch/videos/aBlAv0eVrq; https://tube.switch.ch/videos/uTaeshuq80,,,,Q&A,,,
06.12.23,No Meeting,,,,,,,,,,,,,
13.12.23,Project Presentations,Presentation of the Students Projects,,,,,,,,,,,,
20.12.23,Digital Documentation/Survey,,,,,,,,,,,,,
